acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.24917434995324642,0,20,-0.015481802369337598,-0.015260925452781548,-0.015637198703372397
0.36723179723686056,0,40,-0.0021604703205869353,-0.004355011442701293,-0.0027490365500737737
0.4054092612452364,0,60,0.0022367616219625287,-0.0026616754584604693,0.000975221070152565
0.3707125963998928,0,80,0.004322955355223498,-0.0038887930266259226,0.0021530945210245962
0.27943452756367526,0,100,0.00554490069594992,-0.006318798888382421,0.002310878032152737
0.14598084160858665,0,120,0.006295758395841502,-0.009311413028578217,0.0018310725394596575
-0.012778070165624914,0,140,0.006789661552423738,-0.012201972696079264,0.001035801900804582
-0.17681409949702015,0,160,0.00712070266705665,-0.0147492710999583,9.318571143034385e-06
-0.33737393487995954,0,180,0.00735389985596162,-0.01658659319953931,-0.0011045021099910235
-0.4813016511218925,0,200,0.007456130323523986,-0.017657639894394905,-0.0022926677808841295
-0.5968575971634521,0,220,0.007470818199364606,-0.017813960742638746,-0.003445194676608911
-0.6766591267273301,0,240,0.0074054561214382765,-0.017154724662900404,-0.004508405076394976
-0.7154998773616625,0,260,0.007283924648824185,-0.015776741097425377,-0.005435735478703374
-0.7137046752103544,0,280,0.00708017653680556,-0.013935110338051,-0.006257512357445123
-0.6718458098096312,0,300,0.006793049501407579,-0.011718429340286846,-0.006856238045848781
-0.5934274088548664,0,320,0.006450447922114358,-0.009485510869623978,-0.007258247758012921
-0.4892126128422759,0,340,0.006039550098365354,-0.00732929470626711,-0.0074931550727544705
-0.3649968787551023,0,360,0.005534632001336094,-0.005388302873655278,-0.007439698437463186
-0.23412483284483018,0,380,0.005010867795188493,-0.0038408668603658372,-0.00724715224151771
-0.10906634951862058,0,400,0.004397449090574919,-0.002615955220815789,-0.006812355327153127
-0.0008676527093027447,0,420,0.003793289022814149,-0.0017781052738131962,-0.006239116184667218
0.07477199355907294,0,440,0.0031226952367346874,-0.001270926075289286,-0.005547609421043381
0.10677210057580694,0,460,0.0024148068707433748,-0.0009753330361012312,-0.004716142792161432
0.09857688831483964,0,480,0.0016848111817299215,-0.0008564937554718311,-0.0038212534461559713
0.05936146673098447,0,500,0.0009327495730964066,-0.0008280561528247164,-0.002894321871150823
0.0170389185372227,0,520,0.0002388421321037895,-0.0008209527407744573,-0.0020141794883284277
-0.015822731215037023,0,540,-0.0004936766515343037,-0.0008126731322707554,-0.001142409960559939
-0.011971030459737655,0,560,-0.0012011567013684157,-0.0007798953894196319,-0.00035042826237007316
0.016120899691734608,0,580,-0.0018884877809470276,-0.000727264122575862,0.0003448866080697533
0.05392236010397108,0,600,-0.002518900684687966,-0.0006774393469876908,0.0008866961409642657
0.08170612261416943,0,620,-0.003100524642177938,-0.0006480974584554675,0.0013111906273276259
0.08320994625760099,0,640,-0.003628077153420091,-0.0006748636353666375,0.0015676292869432262
0.05345532286578422,0,660,-0.004129624003137508,-0.0007615092614665502,0.001703994477564838
-0.006079608022509577,0,680,-0.004529238544448008,-0.0009077536842610434,0.001682113235343839
-0.08468397598051071,0,700,-0.0048902601084989715,-0.0011074372447163864,0.0015403519695832946
-0.18527699787982496,0,720,-0.005150530970063817,-0.0013328675330984913,0.0012808857666315343
-0.2828247685497945,0,740,-0.0053210996077098435,-0.0015525087134969841,0.0009189547716978284
-0.3673947913269042,0,760,-0.005455977171009934,-0.001749687985016909,0.0005170321702228999
-0.43866695989214927,0,780,-0.005513286627633564,-0.001896527772243925,4.0782279257922e-05
