acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.03317552383250541,0,20,-0.02497158396408791,-0.024019747704966565,-0.025078457023574186
0.0450975032877931,0,40,-0.011855606115434729,-0.012534703201488856,-0.012181994070742603
0.02307157466460848,0,60,-0.007656787394864514,-0.009192141824191888,-0.008239062810983475
-0.0059879764639410565,0,80,-0.005541245477004773,-0.00761055213523489,-0.006401891539025645
-0.028298672505768358,0,100,-0.004292270044558444,-0.006450359946538089,-0.005377294215874154
-0.03754241432092391,0,120,-0.0035214653544304495,-0.005418685516334389,-0.004760627954511261
-0.02447980629720359,0,140,-0.0030146416130641175,-0.004457039836027537,-0.004293241015513838
0.0019491170967038673,0,160,-0.0026645245567995324,-0.0036241582104850267,-0.0038601343620505513
0.017030328247511273,0,180,-0.0024509901602444905,-0.0030460384930203377,-0.0034683670691085097
0.012061546271911977,0,200,-0.0023187889822294636,-0.002670771282131947,-0.00306725266008107
-0.0015310360330753473,0,220,-0.002246551132540394,-0.0024256449171243775,-0.0026570774870715587
-0.017252473284646058,0,240,-0.002181771080155011,-0.002227665501696448,-0.002284361884020438
-0.029082763294908526,0,260,-0.002171466663584333,-0.0020745795980821923,-0.001989316767962462
-0.03878226464181315,0,280,-0.0021349572331185477,-0.0019140128038396419,-0.0017468867689578043
-0.04966838464315703,0,300,-0.0021172179850259014,-0.0018106639102238968,-0.0015967303241734507
-0.06639549362006643,0,320,-0.002083156951968406,-0.0017537581973431978,-0.0015434618578020933
-0.08475114939288043,0,340,-0.0020191550485405287,-0.00169219840954072,-0.001508428646229604
-0.09609582074088385,0,360,-0.0019233236164460607,-0.0016197664062066923,-0.0015131503709441007
-0.09652312616267164,0,380,-0.001825784290913007,-0.0015277756368798623,-0.0015247664916296102
-0.08819905074775966,0,400,-0.0017078695908938322,-0.001421238484911943,-0.0015200873971006731
-0.07995701420108796,0,420,-0.001569838509860196,-0.001305244650023674,-0.0014625760205607022
-0.0697457333248041,0,440,-0.0014253878731146862,-0.0012133677678805288,-0.0013839639266578028
-0.06938556207351874,0,460,-0.0012859214888628974,-0.0011501099505240328,-0.0012777011589251684
-0.06993699159103117,0,480,-0.0011447059486893577,-0.0010957624505575447,-0.0011456120240335818
-0.06798431489854538,0,500,-0.0010343340427264125,-0.0010459449040830667,-0.0010343086341186942
-0.06658924410311394,0,520,-0.0009187538334499162,-0.0010001420342417523,-0.0009226779293876264
-0.06473590666728457,0,540,-0.0008231255338597056,-0.0009595941022894194,-0.0008498526095122098
-0.06498928349808908,0,560,-0.0007481478544152517,-0.0009342124855220554,-0.0008156563058203683
-0.060242131372375385,0,580,-0.0006804483939491314,-0.0009083862817957085,-0.0008047362859336594
-0.07036990236103688,0,600,-0.0006325466156478921,-0.0008875560660665016,-0.0008198851095091931
-0.06576176755447663,0,620,-0.000602846582445199,-0.0008659395572326098,-0.0008498641127264153
-0.060416619930139706,0,640,-0.0005905504069578197,-0.000830768912275464,-0.0008698829005374034
-0.04957711596527877,0,660,-0.0005854688827165723,-0.0007848771082413543,-0.000874383689465263
-0.0417149701233489,0,680,-0.0005922939116300256,-0.0007448663227113448,-0.0008522164750617934
-0.03829628205198851,0,700,-0.000615766315468956,-0.0007212613848422507,-0.0008121674451287401
-0.026044235704287166,0,720,-0.0006196849301259377,-0.0006952666633864181,-0.0007650665195962581
-0.034349338731991044,0,740,-0.0006629723548811448,-0.0006765239762236551,-0.0006818005085726765
-0.03129965567029113,0,760,-0.0006881283619479248,-0.0006556869753964696,-0.0006164755755031884
-0.03155033732158406,0,780,-0.0007078289741203413,-0.0006404717644370984,-0.0005758463775240056
-0.03061241881928396,0,800,-0.0007371783395777212,-0.0006289453918659583,-0.0005449236069062028
-0.0328856958607868,0,820,-0.0007446525738730672,-0.0006143133059279137,-0.0005318909658049711
