acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.05047974726511468,0,20,-0.02386882384096435,-0.023451518491261897,-0.024121366800382436
0.01092751951451135,0,40,-0.010839327133466286,-0.01304742027991129,-0.011615530559163157
-0.05132735249709971,0,60,-0.006488386495322249,-0.010347219955247565,-0.007920560812604381
-0.10884490300388411,0,80,-0.004414923014734128,-0.008765145694211409,-0.006447005662514381
-0.11216044684369576,0,100,-0.0032899702555620504,-0.006961365131097581,-0.005693715295892001
-0.07041700233982477,0,120,-0.002730690801352403,-0.0052116308634673775,-0.005175240880538213
-0.01581938799107829,0,140,-0.002436166764882843,-0.0038372955316402645,-0.004551105729721971
0.0010843378157275908,0,160,-0.002344070630711709,-0.003078146472142422,-0.003845033576100519
-0.016219820157306487,0,180,-0.002400211132331014,-0.0027130839871439306,-0.0031106432716144833
-0.025609371415529887,0,200,-0.002498201545686434,-0.0024535040100436382,-0.002429206645660873
-0.017247665969990788,0,220,-0.0025772063849127352,-0.0022050314607909623,-0.0019212955163756729
-0.013639459238342483,0,240,-0.0026781479701509805,-0.002063240570298192,-0.001643799117517298
-0.025499957868774105,0,260,-0.002695540064387284,-0.0020082000832999983,-0.0015717379631163364
-0.049825842205282564,0,280,-0.0026229908589439624,-0.0019694868002261326,-0.001644499918219788
-0.052148210183973615,0,300,-0.0024693274181847883,-0.0018530604650719802,-0.0017537996645110498
-0.029314798043977974,0,320,-0.0022486157226508483,-0.001653271297335409,-0.001815670788428284
-0.008741081694185525,0,340,-0.001988024526170552,-0.0014577428813900234,-0.0017955575563450906
-0.0005226917484978305,0,360,-0.001700572189833319,-0.0013186402206377815,-0.0016465759087158855
-0.008651808475386802,0,380,-0.001429211798424619,-0.0012375323767274057,-0.0014248687460911963
-0.019042234226044157,0,400,-0.0011714189472012625,-0.0011719444015023516,-0.0011718361512779306
-0.023597588708525536,0,420,-0.0009450633089129075,-0.0011073176141299754,-0.0009583850419462399
-0.02177887272684942,0,440,-0.0007682281899804924,-0.0010654542464919282,-0.0008465892123796537
-0.034078061582878155,0,460,-0.000634549850279892,-0.001056377392206026,-0.0008413277910103591
-0.05258700517897065,0,480,-0.0005600463671215755,-0.001053151077513709,-0.0009158193780837522
-0.0581299073148843,0,500,-0.0005267567739380427,-0.001018984202579817,-0.001017301728562714
-0.05274193444771214,0,520,-0.0005275423865446945,-0.000949462681973397,-0.0010934963774832426
-0.039140812992893736,0,540,-0.0005767110239991832,-0.0008862809882715232,-0.001118079861966186
-0.03169310472568709,0,560,-0.0006361228335719585,-0.0008285651149136355,-0.00104495219583316
-0.026674872709460926,0,580,-0.0007180646832704915,-0.0007944103526097313,-0.0009194685533464982
-0.03396165799283721,0,600,-0.0008092110595826212,-0.0007692794469758693,-0.0007726851407286318
-0.03502557549240356,0,620,-0.0008944077382533241,-0.000742911093454499,-0.0006488676899126225
-0.03726412201552628,0,640,-0.0009841536472266453,-0.0007288751626863593,-0.000578286090745833
-0.043366409365090126,0,660,-0.0010242395839325567,-0.0007225181276470923,-0.000588277584546291
-0.05073543705956139,0,680,-0.0010300895624298265,-0.0007191357588420187,-0.0006502440303012879
-0.055009454392288,0,700,-0.0010103045731670829,-0.000697697161515878,-0.0007223771843839574
-0.04648130339846559,0,720,-0.0009616917770854336,-0.0006630634589531209,-0.0007837597110832092
-0.03357649581009926,0,740,-0.0008717076885182955,-0.0006200528951475259,-0.0007919273563741443
-0.030783113575567775,0,760,-0.0007683488529465646,-0.0005943664183565156,-0.0007489847831224155
-0.029927580916852655,0,780,-0.0006623594321522024,-0.0005810062423176449,-0.0006622111947157485
-0.031171345188395694,0,800,-0.0005635691686970085,-0.0005629819861822457,-0.0005628156331786338
-0.028419237668367823,0,820,-0.0004579817007304274,-0.0005447916979189517,-0.0004699363883800998
-0.024156455279777223,0,840,-0.0003675788533757716,-0.0005326697525028688,-0.000412604385538673
-0.035626354309114046,0,860,-0.0003101528576065232,-0.0005285232034808897,-0.0004257419959624824
-0.045391408770347794,0,880,-0.0002718886222556437,-0.0005263970361691796,-0.0004776393098065057
-0.04267879898859947,0,900,-0.00026860065876690243,-0.0005213571355276605,-0.0005511621369808542
-0.04127481591452364,0,920,-0.00026826088187490707,-0.0004966964180607951,-0.0005989188747732984
-0.033851567584199424,0,940,-0.00030116317191202006,-0.000481064260218417,-0.0006238535938869892
