acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.007223258364104962,0,20,-0.024653010386693718,-0.02340675915130367,-0.02465252458258948
0.017350721614575126,0,40,-0.011347348793421561,-0.011095759351184498,-0.011352162765993067
0.017550878650591215,0,60,-0.0070929512699690195,-0.007066838761858988,-0.00711150013806756
0.039244150077540715,0,80,-0.004940348007540146,-0.005042049804117403,-0.004977985835407658
0.0696713915203605,0,100,-0.003677633447638796,-0.003907411204898372,-0.003738399738044001
0.08579623453093932,0,120,-0.002862874751596349,-0.003228879787158114,-0.002951890449546348
0.08870219393298817,0,140,-0.0023122279368378252,-0.0028159484971153653,-0.002433376768814563
0.08366510904545892,0,160,-0.0018874893203630046,-0.0025392050778612,-0.002048315363911897
0.08181278887899376,0,180,-0.0015745808933968527,-0.0023689831522853513,-0.0017729607791972704
0.06961876242163192,0,200,-0.0013384172572457735,-0.0022828993670668245,-0.0015805203364195129
0.057544337476557406,0,220,-0.0011448583637174768,-0.0022364294815807755,-0.0014350196340658541
0.041067258052600454,0,240,-0.0009773787356519232,-0.0022159145442754518,-0.0013180745242613832
0.020282542101196843,0,260,-0.0008496662783590618,-0.0022204034974485855,-0.001243764530926648
0.006084719675647053,0,280,-0.0007271069770686203,-0.002215604111414093,-0.0011744088914748634
-0.006500718135714831,0,300,-0.0006331514562302633,-0.002213557748177021,-0.0011285263764909317
-0.022599246726186115,0,320,-0.0005486064795900016,-0.0022147752226199012,-0.0011023954602112568
-0.04150533479486675,0,340,-0.00048619702958808904,-0.0022133232492396876,-0.0010892507415581152
-0.06242814899787498,0,360,-0.0004376562217048211,-0.0021970485175580104,-0.0010838029868104862
-0.07786482176193649,0,380,-0.00038351118698016535,-0.0021873984361510416,-0.0010875737867391954
-0.09319160529421183,0,400,-0.00034693505354588266,-0.0021505430597837665,-0.0010983421495868756
-0.10249424914049099,0,420,-0.0002960914311086285,-0.002083626627192551,-0.0010916760323573527
-0.10917474869536936,0,440,-0.0002759786127877996,-0.0020245561431244145,-0.0011080913058505205
-0.11189606921013415,0,460,-0.0002491382647222443,-0.0019523556072519612,-0.00111972676669821
-0.10929335498925258,0,480,-0.00022525259547878575,-0.0018509581950114757,-0.001117157215021694
-0.08803300441960206,0,500,-0.00021129904508419953,-0.001765770463277015,-0.0011268449321455707
-0.09892957227613208,0,520,-0.00020057911932391866,-0.001664969823246753,-0.0011428750300452302
-0.0927677301453994,0,540,-0.000197835002077324,-0.0015693143520756352,-0.0011544495671733303
-0.08480146394108794,0,560,-0.00019445621126435453,-0.0014597234404279257,-0.0011494380851095813
-0.0652172268609982,0,580,-0.0001999646117226509,-0.0013666603414113215,-0.0011696863326936817
-0.05552163580947223,0,600,-0.00020398455334222647,-0.001265559665798712,-0.001163335944826461
-0.04288549126534428,0,620,-0.00020636886020889675,-0.001165324632234821,-0.0011554515869328353
-0.029208198322510037,0,640,-0.00021019859493700356,-0.0010751365189116593,-0.001149506467950154
-0.013874430842791467,0,660,-0.00022234103518582605,-0.0009985873172163409,-0.00113139740403828
0.0033538570750310517,0,680,-0.00022874481663202079,-0.0009210195408884271,-0.0011123103686818132
0.013150656448866285,0,700,-0.0002424155962775302,-0.0008564692394168454,-0.0010973176756607784
0.028455001390960973,0,720,-0.0002552204215933423,-0.0007987922113759688,-0.0010738949630280609
0.03592188010357602,0,740,-0.0002727017979340808,-0.0007449915637363995,-0.0010332153537517107
0.03857389622939175,0,760,-0.00029078824094277105,-0.0007078229803135005,-0.0010092582365229894
0.04469387775662412,0,780,-0.0003010488956833086,-0.0006751519911861267,-0.000986921176924258
0.04282309469317677,0,800,-0.0003177371338152366,-0.0006456009278444056,-0.0009417127404937532
0.04417869871072866,0,820,-0.0003445296636097741,-0.000624613641282453,-0.0008966583738077558
0.03771400740593913,0,840,-0.0003575590323984403,-0.0006023448363774025,-0.0008510224032212334
0.0352364033890028,0,860,-0.0003774193080305219,-0.0005852936773697181,-0.0008083890892762023
0.0363642472467548,0,880,-0.00040102000265724826,-0.0005798334165669451,-0.0007720681764532054
0.030758752411145573,0,900,-0.00041851079060307,-0.000571193972607818,-0.0007353894289438246
0.021872657851115192,0,920,-0.0004323380175644717,-0.0005555797576334323,-0.0006835198927456974
0.021323167898029006,0,940,-0.00045924386285204987,-0.0005469314709216818,-0.0006349601026254668
0.019238440151097175,0,960,-0.0004839902966951049,-0.0005445781984047894,-0.0005992635585841772
0.012319142158094315,0,980,-0.000495686279147658,-0.0005285200464300772,-0.0005528497664981061
0.013823302905471561,0,1000,-0.0005114762279686907,-0.0005188308137736852,-0.0005166879796372266
0.017098351939807657,0,1019,-0.0005457705330141564,-0.0005154124022183814,-0.0004763236447095877
0.014341246163603424,0,1040,-0.0005550611098294823,-0.0004983382262197614,-0.00043602725600351593
0.016005267387336455,0,1060,-0.0005808293599768008,-0.0004915134983314846,-0.00040213297875026685
0.020323504811207052,0,1080,-0.0005963102922705564,-0.00048154889682788414,-0.00037213307616008374
0.026327663619491872,0,1100,-0.0006063365293406303,-0.000468746390531137,-0.00034641536508312886
0.025369586156732796,0,1120,-0.0006204611604241537,-0.0004601552993888491,-0.00032247259146520393
0.01951512057417085,0,1140,-0.0006453227428040809,-0.0004542072488886509,-0.0002972496302708406
0.020153770092212576,0,1160,-0.0006540542923038808,-0.0004437222778436365,-0.0002729069617543525
0.017951108160629087,0,1180,-0.0006728972519935208,-0.000445842205893671,-0.00026801909181797264
0.014966726877474927,0,1200,-0.0006797301078976213,-0.00043623974786341263,-0.00024705564683157895
0.011899207940476126,0,1220,-0.0006965898259840093,-0.0004373743319524631,-0.00024012101241654196
