acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.02156300440595845,0,20,-0.02635621786093298,-0.02503488048599121,-0.02635296655815839
0.045068563112441194,0,40,-0.012854035851095057,-0.012531390475576092,-0.012848929387933188
0.03644778421327236,0,60,-0.008450879911752673,-0.008313530931661171,-0.008445226937866087
0.030750437796500635,0,80,-0.006249404077245879,-0.006179818366514109,-0.006243793122501618
0.029305263316995064,0,100,-0.004872953151892037,-0.004842614286802573,-0.004867445489938627
0.022722560725699174,0,120,-0.003952566571375307,-0.003951723050679072,-0.003948570572787549
0.02348660696407245,0,140,-0.003293660073795624,-0.0033187806460308277,-0.003291783132021604
0.029798030369061132,0,160,-0.0028123888587448962,-0.002863936361440509,-0.002813854602463294
0.0346369316582862,0,180,-0.0024216179827111156,-0.0024981362578885957,-0.0024254661989113004
0.0422965677254382,0,200,-0.002112651198992443,-0.002219192831155266,-0.002121553518028969
0.04708666437805698,0,220,-0.0018517610629026785,-0.001986709896031414,-0.0018646609526177724
0.05519261549248164,0,240,-0.001629398261393203,-0.0017945302792387971,-0.001648436704717234
0.0629971957007086,0,260,-0.0014568097605993134,-0.0016562914322263095,-0.0014821537421899297
0.05730273341730726,0,280,-0.0013099002974896463,-0.0015505303145189134,-0.001345346964916224
0.04741667271195923,0,300,-0.0011846495644786312,-0.0014571750322894758,-0.0012244424116115988
0.03922166082377489,0,320,-0.0010915412507973641,-0.0014056856815402384,-0.0011422123361481587
0.028408155125207803,0,340,-0.0009882070415757785,-0.0013421566454735775,-0.0010488428573509887
0.02276197068038968,0,360,-0.000909480404373722,-0.0013046731803459356,-0.0009805109603890716
0.009508114915360563,0,380,-0.0008271375193832436,-0.001261740157515715,-0.0009081408083561052
-0.00459106833817904,0,400,-0.0007594919523651874,-0.0012378476432939552,-0.0008533652220533671
-0.015519267921655441,0,420,-0.0006994727932228253,-0.0012218090492741322,-0.0008065282684332951
-0.025732429105056423,0,440,-0.0006507615022723955,-0.0012084210861788164,-0.0007671360910708147
-0.038596498463191915,0,460,-0.0005966679669590501,-0.00119673006452403,-0.000726634320917649
-0.04980183523316776,0,480,-0.0005607800289646676,-0.0011992657777998522,-0.0007047411939170578
-0.06369947201874603,0,500,-0.000513516427519082,-0.0011863166445889154,-0.0006705670945463115
-0.07313613909123538,0,520,-0.0004834671264600582,-0.0011971331801046974,-0.0006567274433425744
-0.08561017936204036,0,540,-0.00044189266026429527,-0.0011889066689454153,-0.0006289678036399682
-0.09450504423161807,0,560,-0.00041419303521224304,-0.0011893379426587808,-0.0006128496597457774
-0.10793207317409306,0,580,-0.0003811648747554896,-0.001184730560736571,-0.0005953688232527031
-0.11892610925215469,0,600,-0.0003559648506617102,-0.0011838316866591382,-0.000582665452313002
-0.12835373247760568,0,620,-0.00032527746260562905,-0.0011804350769034047,-0.0005661791555228894
-0.14197313226463892,0,640,-0.0003048290568215574,-0.0011820334086242693,-0.0005616318345722974
-0.1511212475624204,0,660,-0.00028202614835342617,-0.0011796080346972262,-0.0005534966561171127
-0.1656152957246238,0,680,-0.00026190344412471857,-0.0011751310815294967,-0.0005484337263568857
-0.17016676271319273,0,700,-0.00024007563021680853,-0.0011563812142500532,-0.0005371966729662931
-0.18200435348225805,0,720,-0.00022019636351700318,-0.001155904240850477,-0.0005357172525979676
-0.19020187293486532,0,740,-0.00021291546357682538,-0.0011460692786305036,-0.0005382424306236457
-0.19304452966805571,0,760,-0.0001871026031724263,-0.0011321446270995026,-0.0005307400701950353
-0.1985780428528941,0,780,-0.00017829511837279754,-0.0011187183614623046,-0.0005308038858141772
-0.20669300526907922,0,800,-0.00016761728285743103,-0.001099099239557294,-0.0005300486835034653
-0.20465549074794837,0,820,-0.00015326558060469096,-0.0010806130801748186,-0.0005284836603051312
-0.2101964962094574,0,840,-0.00014814833928403041,-0.0010714363674466452,-0.000537855322404982
-0.21282337792622252,0,860,-0.0001367001521164143,-0.001045803058703835,-0.0005368194849050464
-0.20915574565849374,0,880,-0.00013267168186942822,-0.0010295616212839856,-0.0005409778150785749
-0.21118970233804993,0,900,-0.00012434843081757634,-0.0010039226707196309,-0.0005416135455237734
-0.19502106561812999,0,920,-0.00011687555766675118,-0.0009808669620265569,-0.0005430796872343403
-0.19865265850079827,0,940,-0.0001071131851836076,-0.0009517475744678832,-0.0005424971950149927
-0.19697076123809845,0,960,-0.00010461901973969436,-0.0009295561751232883,-0.0005491113826397424
-0.1885742537405743,0,980,-0.00010027298499488683,-0.0008968708469138303,-0.0005493571694848993
-0.18250508698678378,0,1000,-9.710108986848721e-05,-0.0008752426862535237,-0.0005554656704839902
-0.1742757757545366,0,1019,-9.464693372667039e-05,-0.0008424700990606303,-0.0005522179209799607
-0.1700926361558906,0,1040,-9.080819049750577e-05,-0.0008153492188772118,-0.0005573074686792964
-0.15147881724804732,0,1060,-8.916928971972656e-05,-0.0007834287482933292,-0.0005598344780209906
-0.14033004883151,0,1080,-8.856901271812553e-05,-0.0007567279035061427,-0.0005605694321102746
-0.13748422811643582,0,1100,-8.654376148429224e-05,-0.0007269042778965723,-0.0005622808384585557
-0.12351504937402709,0,1120,-8.768916662768453e-05,-0.000703369961398382,-0.0005663322412580028
-0.11344367875879338,0,1140,-8.559816752358077e-05,-0.0006720729894694462,-0.000562629428730732
-0.10517586461823215,0,1160,-8.783818398888972e-05,-0.000643538713708582,-0.0005626325554935049
-0.09419608228932197,0,1180,-8.553363804254445e-05,-0.0006113602453744429,-0.0005532356357181137
-0.0880884851082118,0,1200,-8.701583863330774e-05,-0.0005890433232729899,-0.0005601947149786522
-0.07041714796453462,0,1220,-8.689230089186051e-05,-0.0005625639078650754,-0.0005496465165332551
-0.06510035808574148,0,1240,-9.180307380071797e-05,-0.0005411389875614427,-0.0005531778639625069
-0.057806614908080936,0,1260,-8.972944645086739e-05,-0.0005124594712534992,-0.0005438755857297257
-0.046576885462761515,0,1280,-8.893451476648742e-05,-0.00048650606129572473,-0.0005404927155268166
-0.025803784033682945,0,1300,-9.514763297425847e-05,-0.0004703905423944687,-0.0005377035930785056
-0.013318075613034297,0,1320,-9.70119652736943e-05,-0.000448021738699461,-0.0005293573514573266
-0.011249185918342836,0,1340,-0.00010166308950111718,-0.0004308354511935906,-0.0005241305576693416
-0.002231381931933647,0,1360,-0.00010301500455521794,-0.0004138748971729788,-0.000518702108994341
0.0027560536825240994,0,1380,-0.00010137067762029377,-0.0003945319775593151,-0.0005126228540369747
0.004801412984432836,0,1400,-0.00011010247678658889,-0.0003820822673365173,-0.0005042759821889964
0.010663236273336629,0,1420,-0.00011295734968924591,-0.00036467287085773046,-0.000495766214993269
0.018656001129647125,0,1440,-0.0001137296187077726,-0.0003519863185933566,-0.0004927932531157168
0.01879392581593135,0,1460,-0.00012058214818971826,-0.0003439268557629575,-0.00048474506669510904
0.02284914404328397,0,1480,-0.00012655199780317868,-0.00033206860546445064,-0.00047745065610375035
0.025773939720923542,0,1500,-0.00012841507068637534,-0.00032528260879791316,-0.00047076403775046886
0.02746112063446675,0,1520,-0.00013323066112473753,-0.0003120915162689217,-0.0004544712401791311
0.028018501196230575,0,1540,-0.00014108391436035085,-0.00030649758321431487,-0.00044775123382922923
0.03073749501484559,0,1560,-0.00014696516998274808,-0.0002974513420595962,-0.00043320400423994956
0.029815702702475994,0,1580,-0.0001511395271952119,-0.0002939943808357554,-0.00042333628028931337
0.03290070007208991,0,1600,-0.00015829468353225666,-0.00028897857305420474,-0.0004141898062304095
0.035526480444546565,0,1620,-0.00015774028861566497,-0.00028138206187387326,-0.0004045576592780851
0.028749442319685254,0,1640,-0.00016768382401321594,-0.00027719464411662546,-0.00038762498508996537
0.022458818013704574,0,1660,-0.0001747284435603764,-0.00027419937491838663,-0.00037775144082738865
0.01776266205640958,0,1680,-0.00018211243004870634,-0.0002743160367985492,-0.00036997370435478907
0.02237189002218066,0,1699,-0.00018099743275992137,-0.0002698867143218042,-0.0003645070308111738
0.02412905594620954,0,1720,-0.00018731819530835956,-0.00026661897479941565,-0.0003505655444462151
0.02045742512459929,0,1740,-0.00019456470207876968,-0.0002594068959693174,-0.0003299637405891961
0.021844186464630416,0,1760,-0.00020202249167402978,-0.00025872254034862014,-0.00031965740617299513
0.03097217724027418,0,1779,-0.0002074108342108185,-0.0002586126145429345,-0.00031489211639309703
0.034033354752426845,0,1800,-0.00021885920656461888,-0.00025769063306449816,-0.0002986560026893855
0.0261795651587077,0,1820,-0.00022499771318422725,-0.0002537351178518588,-0.0002844211757054846
0.021319926159828115,0,1840,-0.00022405861174062684,-0.00024828120930569706,-0.00027396636585630754
0.024930779259042156,0,1860,-0.00022783680385046387,-0.0002476669224101564,-0.0002685564340598106
0.03163958215890322,0,1880,-0.00024351215028985333,-0.0002474597858910764,-0.0002523652386877276
0.03910813602325399,0,1899,-0.0002467337217151163,-0.00024352522132394227,-0.0002402888482449053
0.03848934353176323,0,1920,-0.0002527931127839465,-0.00024355017969910806,-0.00023480051023900875
