acf,sim_number,n_b,ig_here,ig_next,ig_next1
0.2539543261202396,0,20,-0.017857617872207066,-0.01698348466531811,-0.017864715351601914
0.3885684443283555,0,40,-0.004461605222941761,-0.004400282428354461,-0.004476907430661458
0.4692867300903152,0,60,-2.81564817654992e-06,-9.159022115211849e-05,-2.8915707076981787e-05
0.537201319736951,0,80,0.0022701994435641334,0.0021025457027296704,0.0022320388772281963
0.5966020144494419,0,100,0.00363177061462653,0.0033955442837878976,0.0035779801113265
0.6416665670830104,0,120,0.004521937454259403,0.004211952479398823,0.004448941742740187
0.6780186865638457,0,140,0.005192900209042556,0.0048037516637383015,0.00509966825074766
0.7050931548372861,0,160,0.0056712796068191665,0.005192950716308814,0.005552806705404672
0.7233634357242396,0,180,0.006031236514949246,0.005456171233683349,0.00588860849616532
0.737513603331225,0,200,0.0063140281561499464,0.005629958268118307,0.00614239138074496
0.7501111378985225,0,220,0.006545138340342759,0.005747571419379471,0.006345804034361679
0.7600596637664908,0,240,0.006732412490388941,0.005807969786363207,0.006500453113898203
0.7657895733362001,0,260,0.006890907604097728,0.005826795504545617,0.006621182478779764
0.7696351821209021,0,280,0.007028558000062552,0.0058160219549856715,0.006721645246569716
0.7724498725569084,0,300,0.007149216453922074,0.005786244601558862,0.006803385722903814
0.7743432910184096,0,320,0.007246333753150991,0.005732973120663859,0.006860565924057564
0.7751571723087128,0,340,0.007342455425656519,0.005665102467155528,0.006917327940375429
0.7746329739852151,0,360,0.0074222337650375735,0.005571947136109911,0.006951002394798518
0.7733737989434992,0,380,0.0074925905442493855,0.0054633570935446124,0.006974607019299699
0.7706571011500127,0,400,0.007555027111757485,0.005339408717536143,0.006986664026685441
0.7666666942154663,0,420,0.007618387613432523,0.0052187900173230805,0.007003005890535373
0.7622676656613887,0,440,0.007671498681693702,0.005074680862866512,0.007005193757660026
0.7567203195323478,0,460,0.007721960853105312,0.004921132215570655,0.006997425271325648
0.7503603352744405,0,480,0.007758208776864647,0.0047586927993865285,0.006976906459708484
0.7431839594730326,0,500,0.007790798485665912,0.004583862695244474,0.006952381879476872
0.7353933296239401,0,520,0.007829972881916076,0.004407608700695372,0.006929526851155311
0.7272048322138013,0,540,0.007865204313793442,0.004231229707733675,0.006901667157598335
0.7183624691949161,0,560,0.007905260364772604,0.004051945467456554,0.006879844477625399
0.7092090194460642,0,580,0.007930255085231043,0.0038529635486149977,0.006839890657964727
0.6997765672106805,0,600,0.007958602977164834,0.003664521511592876,0.006805552964495114
0.6901455706200181,0,620,0.007977392550531962,0.003482268156741763,0.006761844266895583
0.680284568865685,0,640,0.008000751703912647,0.003267580771080459,0.006712973455155014
0.6705791836230085,0,660,0.008030566859282986,0.003084931359555887,0.006679481068797767
0.6605932066241195,0,680,0.008050465370050757,0.0028658994806532406,0.006624307235741799
0.650487401769231,0,700,0.008064721212089678,0.0026755489266721806,0.006573064469753478
0.640547849660641,0,720,0.008082252483223197,0.002450120184237465,0.006509809576857076
0.6304180284712606,0,740,0.008099392174242315,0.0022430546003284722,0.006451085763593051
0.620473993049824,0,760,0.008113873712710658,0.0020350043196869193,0.006389348212714453
0.6099989706676932,0,780,0.008129856333687822,0.0018416833667411687,0.006340064087662154
0.5993713911208325,0,800,0.008135701197079473,0.0016364545385972032,0.006269106543252
0.5890761931999423,0,820,0.008152822265923383,0.0014303762880125465,0.006209392258043523
0.5782695478320102,0,840,0.008164206001489628,0.0012394650423785652,0.006143334211941186
0.5674820000293287,0,860,0.008172672319429275,0.001025241083274171,0.006072113654475092
0.556487408991436,0,880,0.008186376248632297,0.0008290023207924418,0.006006324145909963
0.5454951257094558,0,900,0.008192777683392076,0.00062257427798617,0.0059302320822660175
0.5347473114032669,0,920,0.00820400250421326,0.0004421490298526279,0.005871029868143962
0.5237416129634177,0,940,0.008208038757002057,0.00025204079839444575,0.0057999640540603034
0.5130430663755432,0,960,0.008219750878198704,4.81131940543161e-05,0.005730327451135834
0.5024627544501553,0,980,0.008221271739547743,-0.00013269357162008324,0.005655800842749986
0.4920276265486152,0,1000,0.008227391268928321,-0.00034713161806078515,0.005567641758777193
0.4816395873462278,0,1019,0.008230254751419194,-0.0005234371432601524,0.00549738582403336
0.4712949614149046,0,1040,0.008243992780827849,-0.0006970403829834811,0.0054379499361376085
0.4605161657816377,0,1060,0.008245801708224431,-0.0008846641944767949,0.005352692622474627
0.45010339630921053,0,1080,0.008252797749047691,-0.0010721281148064654,0.00528078565611109
0.4395950211856255,0,1100,0.00825324133888525,-0.0012650182229075818,0.005187333524936002
0.42900497784816966,0,1120,0.008265391159814164,-0.0014193120457616439,0.005133160070976113
0.41853060671696585,0,1140,0.00826219120422552,-0.001592298604212364,0.0050527468954166075
0.40765936326515007,0,1160,0.008266949616367205,-0.001754478993323657,0.004991402762797925
0.3972987685874157,0,1180,0.008267551520110534,-0.0019368252410522611,0.004895895334814044
0.38697597666955474,0,1200,0.008264448901561984,-0.0021067242021089137,0.004809670956484871
0.3762541688133447,0,1220,0.00826801825737993,-0.0022623640890101376,0.0047455538118892715
0.3661277177941198,0,1240,0.008269334672765336,-0.0024100816973474212,0.004675771068105312
0.3557233801840104,0,1260,0.008265938039785162,-0.0025713827442060415,0.004584708707846312
0.3461332032699478,0,1280,0.008264759231423415,-0.0027367485527743777,0.004506480715605585
0.33576666728433285,0,1300,0.008261166838640106,-0.002865068200502139,0.004429356746706078
0.3252560275683914,0,1320,0.008261601989312242,-0.003014154716168881,0.004349689575964144
0.3151695631779476,0,1340,0.008258781765651379,-0.0031368096110219075,0.00428448052922648
0.305109234964445,0,1360,0.008252644112481049,-0.0032851664617318966,0.004191509037734012
0.2957001616821878,0,1380,0.008250389998399714,-0.0034172252494379064,0.004128150449635738
0.2865075441677655,0,1400,0.008240915418955034,-0.0035703817548314444,0.004037151977726261
0.2759354270658279,0,1420,0.008235679737481072,-0.0036702779865225273,0.0039709741616337545
0.26665151135653853,0,1440,0.008227806568300524,-0.003807330552214404,0.003875084246064601
0.2572265704979219,0,1460,0.008225248067578423,-0.003933991969518116,0.0038063675025115386
0.24802813568460372,0,1480,0.00821584557414463,-0.004061671126616849,0.003704262181459468
0.23882904217542916,0,1500,0.0082092334746384,-0.004147254263864622,0.003650309585459339
0.23062166835278783,0,1520,0.00820141605454958,-0.004287764870988992,0.00355601816601838
0.22180741405820262,0,1540,0.008193414414855897,-0.004379707425620029,0.0034834111846161315
0.21351807875644888,0,1560,0.00818647509034647,-0.00445280167126094,0.0034250924638078058
0.2050674252868873,0,1580,0.008179218466724942,-0.004569880988136853,0.003338443145232684
0.1972063585487165,0,1600,0.008168293764429816,-0.00467430981880712,0.003243230649233467
0.19027054485943673,0,1620,0.008163307026224335,-0.004770001351203094,0.00317023304479447
0.18117104575751844,0,1640,0.00814599178202915,-0.004813771895742873,0.003132019840772625
0.1747233774353593,0,1660,0.008137056724697975,-0.004904500328479195,0.003042526077785181
0.16641841597657053,0,1680,0.00812575793982875,-0.004973712682312141,0.0029812095207137246
0.15918049739622217,0,1699,0.008116882698490188,-0.005043117360668107,0.002911148558026264
0.15233709870131884,0,1720,0.008108298404558066,-0.005146463181124693,0.0028075796603268255
0.1458547929721991,0,1740,0.008093656492095338,-0.005199503756238554,0.0027539859415472846
0.1405525347205073,0,1760,0.008080096790805682,-0.005259855885600497,0.002670235456911746
0.1336362847618981,0,1779,0.008072153340921462,-0.005311889923598036,0.002614235197399981
0.12940358998681234,0,1800,0.008053079711884637,-0.005383838756471872,0.0025334590537013538
0.12257498702894293,0,1820,0.008046090018143494,-0.005416138584738028,0.002465677217305019
0.11515854725038742,0,1840,0.008023181133036293,-0.005466911795567637,0.0024134597713489385
