acf,sim_number,n_b,ig_here,ig_next,ig_next1
-0.0001387343581072762,0,20,-0.025240883899496303,-0.023974139816377717,-0.025238001888415157
-0.006679520034800077,0,40,-0.012352588054551264,-0.012041566393197702,-0.012348376537173642
0.0017980059260163251,0,60,-0.008135885194070025,-0.007997379837337832,-0.008129791011318282
0.015755008519716736,0,80,-0.0060158962494889015,-0.005943602597943311,-0.006009568739963055
0.018651899179637478,0,100,-0.004789794236773847,-0.004748180013006828,-0.004783105066968089
0.011836695021705057,0,120,-0.003983728746879893,-0.0039629746951849254,-0.003978829488832789
0.0032376055920719164,0,140,-0.003385060994279598,-0.0033808226816582697,-0.003380611983577877
-0.018967059681070167,0,160,-0.0029690609358265325,-0.0029840847934188277,-0.0029672724815639332
-0.03905538751528125,0,180,-0.002636190281931923,-0.002669316080514072,-0.002636529632176698
-0.05504758671438363,0,200,-0.002355973716976225,-0.0024024994623102936,-0.0023571595971525225
-0.06905441000675278,0,220,-0.0021137342993720904,-0.0021784273290365794,-0.0021179935885992035
-0.08448859759198635,0,240,-0.0019382079503505038,-0.0020195578163080146,-0.0019460628503256755
-0.09803341865908055,0,260,-0.001766983915037949,-0.0018674851737475798,-0.001780439821914821
-0.10936634113777585,0,280,-0.0016268552246949943,-0.0017391434375543826,-0.0016435277590134607
-0.11982961663367919,0,300,-0.0014966702680570682,-0.0016250774249341293,-0.0015178740942524529
-0.12810191151113584,0,320,-0.0013852923259137504,-0.001526628707990116,-0.0014112634206168303
-0.13014768036240706,0,340,-0.0012868056088315152,-0.0014402781054203167,-0.001317919984017327
-0.13570239871381984,0,360,-0.0011995715278482573,-0.001364972840886564,-0.0012375853380253165
-0.14093824139669053,0,380,-0.0011210151576943306,-0.0012954808975912397,-0.001163003043382726
-0.14143338513312034,0,400,-0.0010551868573839137,-0.0012339025567996071,-0.0010997034979258187
-0.14358009214504536,0,420,-0.0009874931301925359,-0.001170535160756496,-0.001037267933310736
-0.1440380632708727,0,440,-0.0009233478290944703,-0.0011119896546628657,-0.0009811541169607197
-0.1434453345543623,0,460,-0.0008749293848191035,-0.0010637301287046283,-0.0009365159217608208
-0.14380477756497448,0,480,-0.0008310523223565789,-0.0010189988041706638,-0.0008950322235248905
-0.13993915415527014,0,500,-0.0007950188715390189,-0.0009779701709494307,-0.0008628058048296172
-0.14336714878438947,0,520,-0.0007533506395016098,-0.000929004365722588,-0.0008231087145932703
-0.14247657269369987,0,540,-0.0007121800051057214,-0.0008857358009206295,-0.0007880495503863293
-0.14046359773840264,0,560,-0.0006818213790241348,-0.0008461897379467497,-0.0007574658391716241
